date,category,product,variant,supplier,unit_price_rm,quantity_sold,total_sales_rm
2/1/2026,Pantry,Cereal,Chocolate Cereal,Kellogg's,15.9,3,47.7
3/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,10,65
3/1/2026,Dairy,Milk,Low Fat Milk,Farmhouse Dairy,6.8,3,20.4
3/1/2026,Dairy,Milk,Chocolate Milk,Fresh Farms Co.,7.5,2,15
3/1/2026,Dairy,Cheese,Cheddar Cheese,Dairy Best,9.9,5,49.5
3/1/2026,Dairy,Cheese,Mozzarella Cheese,Dairy Best,11.9,7,83.3
3/1/2026,Dairy,Cheese,Cheese Slices,Fresh Farms Co.,8.9,12,106.8
3/1/2026,Dairy,Yogurt,Plain Yogurt,Dairy Best,3.9,3,11.7
3/1/2026,Dairy,Yogurt,Strawberry Yogurt,Farmhouse Dairy,4.5,1,4.5
3/1/2026,Dairy,Yogurt,Greek Yogurt,Farmhouse Dairy,6.9,6,41.4
3/1/2026,Beverages,Coke,Coke 200ml,Local Beverage Distributor,2,10,20
3/1/2026,Beverages,Coke,Coke 500ml,Coca-Cola,3.5,13,45.5
3/1/2026,Beverages,Coke,Coke 1.5L,Coca-Cola,6.9,9,62.1
3/1/2026,Beverages,Coke,Diet Coke,Local Beverage Distributor,3.8,4,15.2
3/1/2026,Beverages,Coke,Coke Zero,Local Beverage Distributor,3.8,24,91.2
3/1/2026,Beverages,Pepsi,Pepsi 200ml,Local Beverage Distributor,2,5,10
3/1/2026,Beverages,Pepsi,Pepsi 500ml,PepsiCo,3.4,14,47.6
3/1/2026,Beverages,Pepsi,Pepsi 1.5L,PepsiCo,6.8,4,27.2
3/1/2026,Beverages,Pepsi,Pepsi Max,PepsiCo,3.8,3,11.4
3/1/2026,Beverages,Sprite,Sprite 200ml,Local Beverage Distributor,2,5,10
3/1/2026,Beverages,Sprite,Sprite 500ml,Coca-Cola,3.4,15,51
3/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,10,68
3/1/2026,Bakery,Bread,White Bread,Sunshine Bakery,3.8,12,45.6
3/1/2026,Bakery,Bread,Wholemeal Bread,Sunshine Bakery,4.8,12,57.6
3/1/2026,Bakery,Bread,Multigrain Bread,Gardenia,5.8,3,17.4
3/1/2026,Bakery,Bun,Plain Bun,Local Bakery,2,1,2
3/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,5,14
3/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,7,19.6
3/1/2026,Bakery,Croissant,Butter Croissant,French Bakehouse,4.5,4,18
3/1/2026,Bakery,Croissant,Chocolate Croissant,French Bakehouse,5.2,8,41.6
3/1/2026,Produce,Apple,Red Apple,Green Harvest,2.2,11,24.2
3/1/2026,Produce,Apple,Green Apple,Fresh Farms Co.,2.4,7,16.8
3/1/2026,Produce,Apple,Fuji Apple,Fresh Farms Co.,3.2,2,6.4
3/1/2026,Produce,Banana,Cavendish Banana,Fresh Farms Co.,1.8,19,34.2
3/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,4,10
3/1/2026,Produce,Lettuce,Romaine Lettuce,Green Harvest,4.8,8,38.4
3/1/2026,Produce,Lettuce,Butterhead Lettuce,Local Farm,5.2,8,41.6
3/1/2026,Pantry,Rice,White Rice 5kg,Golden Grain,22.9,5,114.5
3/1/2026,Pantry,Rice,Brown Rice 5kg,Golden Grain,28.9,2,57.8
3/1/2026,Pantry,Rice,Basmati Rice 5kg,Pantry Supply Co.,34.9,7,244.3
3/1/2026,Pantry,Pasta,Spaghetti,Italian Foods,5.5,12,66
3/1/2026,Pantry,Pasta,Macaroni,Italian Foods,5.2,8,41.6
3/1/2026,Pantry,Pasta,Penne,Pantry Supply Co.,5.8,7,40.6
3/1/2026,Pantry,Cereal,Corn Flakes,Kellogg's,11.9,9,107.1
3/1/2026,Pantry,Cereal,Oat Cereal,Nestle,13.9,1,13.9
3/1/2026,Pantry,Cereal,Chocolate Cereal,Kellogg's,15.9,7,111.3
4/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,19,123.5
4/1/2026,Dairy,Milk,Low Fat Milk,Nestle,6.8,7,47.6
4/1/2026,Dairy,Milk,Chocolate Milk,Nestle,7.5,1,7.5
4/1/2026,Dairy,Cheese,Cheddar Cheese,Dairy Best,9.9,3,29.7
4/1/2026,Dairy,Cheese,Mozzarella Cheese,Fresh Farms Co.,11.9,4,47.6
4/1/2026,Dairy,Cheese,Cheese Slices,Fresh Farms Co.,8.9,9,80.1
4/1/2026,Dairy,Yogurt,Plain Yogurt,Farmhouse Dairy,3.9,8,31.2
4/1/2026,Dairy,Yogurt,Strawberry Yogurt,Dairy Best,4.5,1,4.5
4/1/2026,Dairy,Yogurt,Greek Yogurt,Farmhouse Dairy,6.9,1,6.9
4/1/2026,Beverages,Coke,Coke 200ml,Local Beverage Distributor,2,13,26
4/1/2026,Beverages,Coke,Coke 500ml,Coca-Cola,3.5,17,59.5
4/1/2026,Beverages,Coke,Coke 1.5L,Local Beverage Distributor,6.9,9,62.1
4/1/2026,Beverages,Coke,Diet Coke,Coca-Cola,3.8,11,41.8
4/1/2026,Beverages,Coke,Coke Zero,Coca-Cola,3.8,17,64.6
4/1/2026,Beverages,Pepsi,Pepsi 200ml,Local Beverage Distributor,2,10,20
4/1/2026,Beverages,Pepsi,Pepsi 500ml,PepsiCo,3.4,9,30.6
4/1/2026,Beverages,Pepsi,Pepsi 1.5L,Local Beverage Distributor,6.8,11,74.8
4/1/2026,Beverages,Pepsi,Pepsi Max,PepsiCo,3.8,5,19
4/1/2026,Beverages,Sprite,Sprite 200ml,Local Beverage Distributor,2,10,20
4/1/2026,Beverages,Sprite,Sprite 500ml,Local Beverage Distributor,3.4,9,30.6
4/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,6,40.8
4/1/2026,Bakery,Bread,White Bread,Gardenia,3.8,19,72.2
4/1/2026,Bakery,Bread,Wholemeal Bread,Gardenia,4.8,20,96
4/1/2026,Bakery,Bread,Multigrain Bread,Gardenia,5.8,2,11.6
4/1/2026,Bakery,Bun,Plain Bun,Local Bakery,2,5,10
4/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,3,8.4
4/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,6,16.8
4/1/2026,Bakery,Croissant,Butter Croissant,French Bakehouse,4.5,8,36
4/1/2026,Bakery,Croissant,Chocolate Croissant,French Bakehouse,5.2,7,36.4
4/1/2026,Produce,Apple,Red Apple,Green Harvest,2.2,8,17.6
4/1/2026,Produce,Apple,Green Apple,Fresh Farms Co.,2.4,7,16.8
4/1/2026,Produce,Apple,Fuji Apple,Green Harvest,3.2,7,22.4
4/1/2026,Produce,Banana,Cavendish Banana,Green Harvest,1.8,17,30.6
4/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,3,7.5
4/1/2026,Produce,Lettuce,Romaine Lettuce,Local Farm,4.8,6,28.8
4/1/2026,Produce,Lettuce,Butterhead Lettuce,Local Farm,5.2,2,10.4
4/1/2026,Pantry,Rice,White Rice 5kg,Golden Grain,22.9,7,160.3
4/1/2026,Pantry,Rice,Brown Rice 5kg,Pantry Supply Co.,28.9,3,86.7
4/1/2026,Pantry,Rice,Basmati Rice 5kg,Golden Grain,34.9,6,209.4
4/1/2026,Pantry,Pasta,Spaghetti,Pantry Supply Co.,5.5,7,38.5
4/1/2026,Pantry,Pasta,Macaroni,Italian Foods,5.2,1,5.2
4/1/2026,Pantry,Pasta,Penne,Italian Foods,5.8,6,34.8
4/1/2026,Pantry,Cereal,Corn Flakes,Nestle,11.9,7,83.3
4/1/2026,Pantry,Cereal,Oat Cereal,Nestle,13.9,2,27.8
4/1/2026,Pantry,Cereal,Chocolate Cereal,Nestle,15.9,6,95.4
5/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,18,117
5/1/2026,Dairy,Milk,Low Fat Milk,Farmhouse Dairy,6.8,1,6.8
5/1/2026,Dairy,Milk,Chocolate Milk,Fresh Farms Co.,7.5,4,30
5/1/2026,Dairy,Cheese,Cheddar Cheese,Dairy Best,9.9,5,49.5
5/1/2026,Dairy,Cheese,Mozzarella Cheese,Dairy Best,11.9,7,83.3
5/1/2026,Dairy,Cheese,Cheese Slices,Fresh Farms Co.,8.9,5,44.5
5/1/2026,Dairy,Yogurt,Plain Yogurt,Farmhouse Dairy,3.9,1,3.9
5/1/2026,Dairy,Yogurt,Strawberry Yogurt,Farmhouse Dairy,4.5,2,9
5/1/2026,Dairy,Yogurt,Greek Yogurt,Farmhouse Dairy,6.9,5,34.5
5/1/2026,Beverages,Coke,Coke 200ml,Coca-Cola,2,1,2
5/1/2026,Beverages,Coke,Coke 500ml,Local Beverage Distributor,3.5,17,59.5
5/1/2026,Beverages,Coke,Coke 1.5L,Local Beverage Distributor,6.9,8,55.2
5/1/2026,Beverages,Coke,Diet Coke,Local Beverage Distributor,3.8,1,3.8
5/1/2026,Beverages,Coke,Coke Zero,Local Beverage Distributor,3.8,19,72.2
5/1/2026,Beverages,Pepsi,Pepsi 200ml,PepsiCo,2,6,12
5/1/2026,Beverages,Pepsi,Pepsi 500ml,Local Beverage Distributor,3.4,5,17
5/1/2026,Beverages,Pepsi,Pepsi 1.5L,Local Beverage Distributor,6.8,2,13.6
5/1/2026,Beverages,Pepsi,Pepsi Max,PepsiCo,3.8,4,15.2
5/1/2026,Beverages,Sprite,Sprite 200ml,Coca-Cola,2,7,14
5/1/2026,Beverages,Sprite,Sprite 500ml,Local Beverage Distributor,3.4,11,37.4
5/1/2026,Beverages,Sprite,Sprite 1.5L,Coca-Cola,6.8,1,6.8
5/1/2026,Bakery,Bread,White Bread,Local Bakery,3.8,11,41.8
5/1/2026,Bakery,Bread,Wholemeal Bread,Local Bakery,4.8,16,76.8
5/1/2026,Bakery,Bread,Multigrain Bread,Local Bakery,5.8,3,17.4
5/1/2026,Bakery,Bun,Plain Bun,Sunshine Bakery,2,1,2
5/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,6,16.8
5/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,6,16.8
5/1/2026,Bakery,Croissant,Butter Croissant,French Bakehouse,4.5,3,13.5
5/1/2026,Bakery,Croissant,Chocolate Croissant,Local Bakery,5.2,5,26
5/1/2026,Produce,Apple,Red Apple,Green Harvest,2.2,11,24.2
5/1/2026,Produce,Apple,Green Apple,Green Harvest,2.4,5,12
5/1/2026,Produce,Apple,Fuji Apple,Green Harvest,3.2,6,19.2
5/1/2026,Produce,Banana,Cavendish Banana,Green Harvest,1.8,10,18
5/1/2026,Produce,Banana,Mini Banana,Green Harvest,2.5,6,15
5/1/2026,Produce,Lettuce,Romaine Lettuce,Local Farm,4.8,2,9.6
5/1/2026,Produce,Lettuce,Butterhead Lettuce,Local Farm,5.2,3,15.6
5/1/2026,Pantry,Rice,White Rice 5kg,Pantry Supply Co.,22.9,2,45.8
5/1/2026,Pantry,Rice,Brown Rice 5kg,Pantry Supply Co.,28.9,4,115.6
5/1/2026,Pantry,Rice,Basmati Rice 5kg,Golden Grain,34.9,6,209.4
5/1/2026,Pantry,Pasta,Spaghetti,Italian Foods,5.5,12,66
5/1/2026,Pantry,Pasta,Macaroni,Pantry Supply Co.,5.2,3,15.6
5/1/2026,Pantry,Pasta,Penne,Italian Foods,5.8,8,46.4
5/1/2026,Pantry,Cereal,Corn Flakes,Kellogg's,11.9,12,142.8
5/1/2026,Pantry,Cereal,Oat Cereal,Nestle,13.9,6,83.4
5/1/2026,Pantry,Cereal,Chocolate Cereal,Kellogg's,15.9,2,31.8
6/1/2026,Dairy,Milk,Full Cream Milk,Farmhouse Dairy,6.5,19,123.5
6/1/2026,Dairy,Milk,Low Fat Milk,Fresh Farms Co.,6.8,1,6.8
6/1/2026,Dairy,Milk,Chocolate Milk,Fresh Farms Co.,7.5,4,30
6/1/2026,Dairy,Cheese,Cheddar Cheese,Fresh Farms Co.,9.9,4,39.6
6/1/2026,Dairy,Cheese,Mozzarella Cheese,Dairy Best,11.9,6,71.4
6/1/2026,Dairy,Cheese,Cheese Slices,Fresh Farms Co.,8.9,6,53.4
6/1/2026,Dairy,Yogurt,Plain Yogurt,Dairy Best,3.9,7,27.3
6/1/2026,Dairy,Yogurt,Strawberry Yogurt,Farmhouse Dairy,4.5,6,27
6/1/2026,Dairy,Yogurt,Greek Yogurt,Farmhouse Dairy,6.9,6,41.4
6/1/2026,Beverages,Coke,Coke 200ml,Local Beverage Distributor,2,4,8
6/1/2026,Beverages,Coke,Coke 500ml,Local Beverage Distributor,3.5,17,59.5
6/1/2026,Beverages,Coke,Coke 1.5L,Local Beverage Distributor,6.9,6,41.4
6/1/2026,Beverages,Coke,Diet Coke,Local Beverage Distributor,3.8,5,19
6/1/2026,Beverages,Coke,Coke Zero,Coca-Cola,3.8,10,38
6/1/2026,Beverages,Pepsi,Pepsi 200ml,PepsiCo,2,2,4
6/1/2026,Beverages,Pepsi,Pepsi 500ml,PepsiCo,3.4,11,37.4
6/1/2026,Beverages,Pepsi,Pepsi 1.5L,PepsiCo,6.8,2,13.6
6/1/2026,Beverages,Pepsi,Pepsi Max,PepsiCo,3.8,3,11.4
6/1/2026,Beverages,Sprite,Sprite 200ml,Local Beverage Distributor,2,8,16
6/1/2026,Beverages,Sprite,Sprite 500ml,Local Beverage Distributor,3.4,11,37.4
6/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,2,13.6
6/1/2026,Bakery,Bread,White Bread,Gardenia,3.8,18,68.4
6/1/2026,Bakery,Bread,Wholemeal Bread,Sunshine Bakery,4.8,20,96
6/1/2026,Bakery,Bread,Multigrain Bread,Sunshine Bakery,5.8,8,46.4
6/1/2026,Bakery,Bun,Plain Bun,Sunshine Bakery,2,5,10
6/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,2,5.6
6/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,8,22.4
6/1/2026,Bakery,Croissant,Butter Croissant,Local Bakery,4.5,6,27
6/1/2026,Bakery,Croissant,Chocolate Croissant,Local Bakery,5.2,8,41.6
6/1/2026,Produce,Apple,Red Apple,Fresh Farms Co.,2.2,6,13.2
6/1/2026,Produce,Apple,Green Apple,Fresh Farms Co.,2.4,8,19.2
6/1/2026,Produce,Apple,Fuji Apple,Green Harvest,3.2,5,16
6/1/2026,Produce,Banana,Cavendish Banana,Fresh Farms Co.,1.8,11,19.8
6/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,4,10
6/1/2026,Produce,Lettuce,Romaine Lettuce,Local Farm,4.8,1,4.8
6/1/2026,Produce,Lettuce,Butterhead Lettuce,Local Farm,5.2,5,26
6/1/2026,Pantry,Rice,White Rice 5kg,Pantry Supply Co.,22.9,4,91.6
6/1/2026,Pantry,Rice,Brown Rice 5kg,Pantry Supply Co.,28.9,4,115.6
6/1/2026,Pantry,Rice,Basmati Rice 5kg,Pantry Supply Co.,34.9,7,244.3
6/1/2026,Pantry,Pasta,Spaghetti,Italian Foods,5.5,10,55
6/1/2026,Pantry,Pasta,Macaroni,Pantry Supply Co.,5.2,7,36.4
6/1/2026,Pantry,Pasta,Penne,Italian Foods,5.8,4,23.2
6/1/2026,Pantry,Cereal,Corn Flakes,Kellogg's,11.9,8,95.2
6/1/2026,Pantry,Cereal,Oat Cereal,Kellogg's,13.9,2,27.8
6/1/2026,Pantry,Cereal,Chocolate Cereal,Nestle,15.9,4,63.6
7/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,19,123.5
7/1/2026,Dairy,Milk,Low Fat Milk,Nestle,6.8,6,40.8
7/1/2026,Dairy,Milk,Chocolate Milk,Fresh Farms Co.,7.5,7,52.5
7/1/2026,Dairy,Cheese,Cheddar Cheese,Dairy Best,9.9,6,59.4
7/1/2026,Dairy,Cheese,Mozzarella Cheese,Fresh Farms Co.,11.9,5,59.5
7/1/2026,Dairy,Cheese,Cheese Slices,Dairy Best,8.9,5,44.5
7/1/2026,Dairy,Yogurt,Plain Yogurt,Dairy Best,3.9,7,27.3
7/1/2026,Dairy,Yogurt,Strawberry Yogurt,Dairy Best,4.5,8,36
7/1/2026,Dairy,Yogurt,Greek Yogurt,Dairy Best,6.9,1,6.9
7/1/2026,Beverages,Coke,Coke 200ml,Coca-Cola,2,5,10
7/1/2026,Beverages,Coke,Coke 500ml,Local Beverage Distributor,3.5,20,70
7/1/2026,Beverages,Coke,Coke 1.5L,Coca-Cola,6.9,4,27.6
7/1/2026,Beverages,Coke,Diet Coke,Coca-Cola,3.8,5,19
7/1/2026,Beverages,Coke,Coke Zero,Coca-Cola,3.8,13,49.4
7/1/2026,Beverages,Pepsi,Pepsi 200ml,PepsiCo,2,1,2
7/1/2026,Beverages,Pepsi,Pepsi 500ml,Local Beverage Distributor,3.4,5,17
7/1/2026,Beverages,Pepsi,Pepsi 1.5L,Local Beverage Distributor,6.8,5,34
7/1/2026,Beverages,Pepsi,Pepsi Max,Local Beverage Distributor,3.8,3,11.4
7/1/2026,Beverages,Sprite,Sprite 200ml,Local Beverage Distributor,2,4,8
7/1/2026,Beverages,Sprite,Sprite 500ml,Local Beverage Distributor,3.4,10,34
7/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,2,13.6
7/1/2026,Bakery,Bread,White Bread,Gardenia,3.8,19,72.2
7/1/2026,Bakery,Bread,Wholemeal Bread,Sunshine Bakery,4.8,13,62.4
7/1/2026,Bakery,Bread,Multigrain Bread,Gardenia,5.8,7,40.6
7/1/2026,Bakery,Bun,Plain Bun,Local Bakery,2,3,6
7/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,3,8.4
7/1/2026,Bakery,Bun,Red Bean Bun,Sunshine Bakery,2.8,5,14
7/1/2026,Bakery,Croissant,Butter Croissant,French Bakehouse,4.5,7,31.5
7/1/2026,Bakery,Croissant,Chocolate Croissant,Local Bakery,5.2,5,26
7/1/2026,Produce,Apple,Red Apple,Green Harvest,2.2,7,15.4
7/1/2026,Produce,Apple,Green Apple,Fresh Farms Co.,2.4,7,16.8
7/1/2026,Produce,Apple,Fuji Apple,Fresh Farms Co.,3.2,3,9.6
7/1/2026,Produce,Banana,Cavendish Banana,Green Harvest,1.8,13,23.4
7/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,1,2.5
7/1/2026,Produce,Lettuce,Romaine Lettuce,Green Harvest,4.8,6,28.8
7/1/2026,Produce,Lettuce,Butterhead Lettuce,Green Harvest,5.2,6,31.2
7/1/2026,Pantry,Rice,White Rice 5kg,Golden Grain,22.9,6,137.4
7/1/2026,Pantry,Rice,Brown Rice 5kg,Pantry Supply Co.,28.9,5,144.5
7/1/2026,Pantry,Rice,Basmati Rice 5kg,Pantry Supply Co.,34.9,8,279.2
7/1/2026,Pantry,Pasta,Spaghetti,Italian Foods,5.5,8,44
7/1/2026,Pantry,Pasta,Macaroni,Pantry Supply Co.,5.2,8,41.6
7/1/2026,Pantry,Pasta,Penne,Italian Foods,5.8,1,5.8
7/1/2026,Pantry,Cereal,Corn Flakes,Nestle,11.9,10,119
7/1/2026,Pantry,Cereal,Oat Cereal,Kellogg's,13.9,1,13.9
7/1/2026,Pantry,Cereal,Chocolate Cereal,Nestle,15.9,8,127.2
8/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,22,143
8/1/2026,Dairy,Milk,Low Fat Milk,Nestle,6.8,2,13.6
8/1/2026,Dairy,Milk,Chocolate Milk,Farmhouse Dairy,7.5,4,30
8/1/2026,Dairy,Cheese,Cheddar Cheese,Fresh Farms Co.,9.9,8,79.2
8/1/2026,Dairy,Cheese,Mozzarella Cheese,Dairy Best,11.9,1,11.9
8/1/2026,Dairy,Cheese,Cheese Slices,Dairy Best,8.9,7,62.3
8/1/2026,Dairy,Yogurt,Plain Yogurt,Dairy Best,3.9,8,31.2
